sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,7610911,-0.4222,-0.3225,-0.8992,-5.4688,14.4375,-8.2812,tremor
1,7610926,-0.4130,-0.3223,-0.9012,-5.0625,18.0312,-9.4844,tremor
2,7610936,-0.4105,-0.3220,-0.9025,-5.3906,23.1250,-11.4219,tremor
3,7610941,-0.4104,-0.3220,-0.9032,-6.0000,26.9375,-11.7500,tremor
4,7610945,-0.4110,-0.3221,-0.9043,-6.4531,28.0938,-12.1094,tremor
5,7610950,-0.4121,-0.3225,-0.9056,-6.2656,28.9219,-12.4531,tremor
6,7610960,-0.4148,-0.3237,-0.9094,-7.3906,32.5312,-12.6875,tremor
7,7610964,-0.4158,-0.3247,-0.9131,-7.7812,34.2500,-13.5000,tremor
8,7610969,-0.4160,-0.3264,-0.9158,-7.4062,35.5938,-14.1250,tremor
9,7610974,-0.4148,-0.3276,-0.9187,-6.7500,36.1562,-14.5938,tremor
10,7610979,-0.4128,-0.3287,-0.9220,-6.2344,36.2812,-15.3906,tremor
11,7611025,-0.3539,-0.3361,-0.9550,-6.3906,20.3906,-15.5312,tremor
12,7611030,-0.3440,-0.3353,-0.9563,-4.7500,16.9844,-16.8750,tremor
13,7611039,-0.3257,-0.3317,-0.9586,-1.8281,9.2188,-18.5156,tremor
14,7611049,-0.3121,-0.3260,-0.9608,-1.3281,3.2344,-18.1250,tremor
15,7611054,-0.3080,-0.3218,-0.9630,-0.6875,1.3594,-18.6562,tremor
16,7611059,-0.3048,-0.3193,-0.9647,0.0781,-0.2969,-18.4375,tremor
17,7611064,-0.3047,-0.3175,-0.9668,0.7031,-2.2969,-18.2188,tremor
18,7611069,-0.3059,-0.3165,-0.9688,0.4062,-4.3594,-17.7500,tremor
19,7611078,-0.3109,-0.3169,-0.9725,1.0625,-16.8906,-17.1250,tremor
20,7611088,-0.3163,-0.3197,-0.9756,3.0000,-38.4062,-15.3281,tremor
21,7611098,-0.3157,-0.3241,-0.9811,6.3281,-73.3438,-12.2656,tremor
22,7611103,-0.3105,-0.3254,-0.9852,9.3438,-97.3281,-9.5312,tremor
23,7611129,-0.2129,-0.3165,-1.0449,42.8125,-268.7812,9.1875,tremor
24,7611143,-0.1349,-0.2968,-1.0865,65.2031,-393.3281,14.9531,tremor
25,7611152,-0.1007,-0.2834,-1.0908,72.2188,-443.7969,16.4375,tremor
26,7611157,-0.0944,-0.2786,-1.0691,73.8906,-462.4688,18.2188,tremor
27,7611162,-0.0970,-0.2745,-1.0394,74.5938,-480.1562,18.0781,tremor
28,7611167,-0.1208,-0.2747,-0.9971,75.1719,-496.4688,13.8281,tremor
29,7611172,-0.1510,-0.2771,-0.9424,74.8594,-508.5625,8.0312,tremor
30,7611177,-0.1927,-0.2816,-0.8771,72.8281,-512.0000,-1.5781,tremor
31,7611182,-0.2456,-0.2881,-0.8032,70.0000,-512.0000,-5.3906,tremor
